"station_name","effort_window","effort_start","effort_end","n_receiver_deployments","receivers_used","latitude","longitude"
"2 mile 1",1,2015-07-22,2025-01-18 13:20:00,10,"125564, 119633, 119107, 123252, 133801, 133802, 123253, 136527",-27.51221667,32.68713333
"2 mile 2",1,2015-07-22,2025-01-18 12:52:00,10,"125566, 119622, 123194, 130588, 102852, 125565, 132290, 133802",-27.5122,32.69548333
"2MRR1",1,2016-05-11,2018-03-21,2,"123252, 125565",-27.52213333,32.68411667
"2MRR2",1,2016-05-11,2018-03-21,2,"123256, 125567",-27.51953333,32.69333333
"2MRR3",1,2016-05-11,2018-03-21,2,"123255, 123254",-27.52846667,32.68445
"2MRR4",1,2016-05-11,2018-03-21,2,"123253, 123257",-27.52883333,32.6912
"9 mile 1",1,2015-07-22,2025-01-18 12:01:00,9,"125565, 123254, 125564, 130590, 119633, 108760, 130588, 136534, 136525",-27.398572,32.730531
"9 mile 2",1,2015-07-22,2025-01-18 11:54:00,9,"125567, 123257, 125566, 130591, 123253, NA, 123252, 136521, 136530",-27.399796,32.736069
"AB001",1,2015-04-21 06:33:00,2025-07-20 11:40:00,20,"102299, 102283, 112435, 545671, 545668, 546757, 545679, 547830, 545740, 545758, 545747, 546758, 545759, 545749, 545756, 545678, 552849, 546762, 549908",-33.77736,26.31286
"AB002",1,2015-04-21 06:50:00,2025-07-20 11:28:00,20,"112345, 102285, 112462, 545672, 545669, 546758, 545739, 547831, 545749, 545679, 545750, 546775, 547829, 546765, 545741, 552850, 546768, 552856",-33.78538,26.31409
"AB003",1,2015-04-21 07:04:00,2025-07-20 11:15:00,20,"119109, 102851, 112474, 545673, 545670, 546759, 545751, 547832, 545755, 545739, 546764, 546771, 549807, 546769, 545744, 552851, 547831",-33.79314,26.31528
"AB004",1,2015-04-21 07:21:00,2025-07-20 11:06:00,20,"119173, 112418, 119098, 545674, 545750, 546760, 545756, 547833, 546755, 546786, 546772, 549569, 549808, 546771, 545747, 547828, 546765",-33.80161,26.31643
"AB005",1,2015-04-21 07:37:00,2025-07-20 10:57:00,20,"120155, 112441, 119171, 545675, 545755, 546761, 545759, 547834, 546760, 545754, 546774, 546765, 549809, 546776, 546780, 545752, 545669, 545744, 545668",-33.80974,26.31633
"AB006",1,2015-04-21 07:52:00,2016-04-15 09:47:00,2,"119161, 112468",-33.81775,26.31649
"AB006",2,2016-10-17 10:21:00,2025-07-20 10:47:00,17,"545676, 545756, 546769, 545757, 547835, 546764, 546781, 549563, 549810, 546783, 546782, 546761, 551316, 545675, 545679",-33.81775,26.31649
"AB007",1,2015-04-21 08:03:00,2025-07-20 10:37:00,20,"120164, 120152, 119619, 545677, 545758, 546778, 547836, 546765, 546761, 547827, 545672, 549908, 546785, 547831, 545754, 545673, 552859",-33.82578,26.31648
"ALS001",1,2022-10-12 10:10:00,2025-08-23 08:01:00,4,"112421, 114023, 119633, 136520",-30.26375,30.82854
"ALS002",1,2020-09-17 14:30:00,2025-08-23 08:40:00,6,"120150, 112347, 112473, 123203, 112443",-30.28107,30.81001
"ALS003",1,2020-09-18 10:15:00,2025-08-23 09:16:00,5,"126027, 119173, 120148, 120151, 119625",-30.37126,30.76117
"ALS004",1,2020-10-03 08:15:00,2025-08-23 10:24:00,5,"126034, 120159, 120149, 123191, 120139",-30.2543,30.78576
"AMA008",1,2022-03-10 11:16:00,2024-02-27 12:00:00,1,"124982",-32.73706352,28.32768817
"ARN001",1,2020-10-24 15:55:00,2021-04-02 11:19:00,1,"549803",-34.73321,20.15191
"ARN002",1,2021-04-25 16:02:00,2022-09-15 12:57:00,2,"549803",-34.67452,20.24844
"ATAP_Hougham",1,2019-11-14 11:26:00,2025-04-25 10:53:00,9,"119628, 546772, 545669, 549907, 545673, 545753, 546775, 545759, 552855",-33.78674,25.73234
"ATAP_Sundays Mouth",1,2019-11-14 10:00:00,2025-04-25 10:00:00,9,"112473, 545673, 546758, 546761, 545749, 545676, 546785, 549807, 546776",-33.73153,25.87346
"ATAP_Wells",1,2019-11-14 12:17:00,2025-04-25 11:20:00,9,"119617, 546759, 546755, 546774, 545679, 545671, 547826, 549563, 546786",-33.84098333,25.66153333
"BFB001",1,2022-09-14 10:37:00,2024-10-24 10:17:00,3,"551314, 549563, 545742",-34.31818,18.47375
"BFB001",2,2024-12-02 08:37:00,2025-05-24 11:08:00,1,"547823",-34.31818,18.47375
"BI East",1,2015-03-30,2016-03-29,1,"112818",-33.84231667,26.30338333
"BI North",1,2015-03-30,2016-03-29,1,"112819",-33.8536,26.28875
"BI South",1,2015-03-30,2016-03-29,1,"112817",-33.82605,26.29566667
"BLB001",1,2021-04-01 11:28:00,2025-03-20 07:35:00,6,"546762, 545671, 546768, 547823, 545753, 551308",-34.39336,21.08336
"BR001",1,2015-08-14 08:02:00,2019-07-04 11:36:00,4,"123187, 119168, 119620, 119110",-29.905283,31.046133
"BR001",2,2020-02-24 12:32:00,2023-02-28 07:47:00,3,"120171, 112385, 112380",-29.905283,31.046133
"BR002",1,2015-08-14 07:31:00,2021-12-10 09:21:00,7,"102854, 119635, 119172, 119621, 119168, 123186, 120152",-29.907867,31.050767
"BR002",2,2023-02-28 08:22:00,2025-06-20 09:30:00,2,"123553, 551313",-29.907867,31.050767
"BRD000",1,2018-03-01 15:06:00,2020-10-05 08:14:00,5,"545671, 546774, 545668, 547836, 546767",-34.3978,20.90157
"BRD001",1,2017-07-02 13:13:00,2018-02-28,1,"546780",-34.40063,20.87326
"BRD002",1,2016-10-10 12:19:00,2025-03-20 06:53:00,14,"119109, 546779, 545672, 546775, 545669, 547823, 545753, 545755, 545676, 547824, 547827, 545756",-34.40284,20.88126
"BRD003",1,2016-10-10 13:30:00,2018-03-01,2,"119173, 546782",-34.41353,20.8742
"BRD004",1,2016-10-10 13:40:00,2025-03-20 06:42:00,15,"119161, 120172, 546781, 545674, 546776, 545751, 546758, 547835, 545676, 547826, 546757, 547830, 546782, 546779",-34.4239,20.88554
"BRD005",1,2018-02-28 15:32:00,2021-03-31 16:04:00,6,"545673, 546778, 546785, 546771, 547833, 546757",-34.44269,20.89092
"BRE Check",1,2020-07-04 13:46:00,2021-11-08 13:55:00,3,"120166, 123188",-34.406908,20.807021
"BRE00",1,2016-09-14 09:35:00,2020-07-03 13:30:00,12,"102283, 126027",-34.40792,20.84281
"BRE02",1,2016-03-06 11:57:00,2020-07-02 11:32:00,11,"120148, 120136",-34.3987,20.82168
"BRE03",1,2016-03-06 11:24:00,2024-06-19 14:20:00,18,"120177, 123188, 104784",-34.40984,20.79869
"BRE04",1,2016-09-14 10:51:00,2017-10-19 10:00:00,4,"102853",-34.40693,20.79069
"BRE04",2,2018-05-28 10:45:00,2024-06-19 15:50:00,8,"120176, 133829",-34.40693,20.79069
"BRE05",1,2016-09-14 11:17:00,2024-06-19 15:00:00,15,"102854, 112431",-34.39456,20.75805
"BRE06",1,2016-09-14 11:33:00,2024-06-19 15:30:00,13,"112468",-34.39396,20.75242
"BRE07",1,2016-09-15 08:39:00,2020-07-03 08:45:00,9,"119097",-34.37348,20.7181
"BRE08",1,2016-09-15 08:57:00,2020-07-03 09:01:00,9,"119105, 119161",-34.36976,20.71504
"BRE09",1,2016-09-15 09:29:00,2020-07-03 09:20:00,11,"119632",-34.35905,20.68968
"BRE10",1,2016-09-15 09:55:00,2020-07-03 09:31:00,9,"120152",-34.35346,20.68885
"BRE11",1,2016-09-15 10:18:00,2020-07-03 09:50:00,9,"120166",-34.3523,20.64984
"BRE12",1,2016-09-15 12:34:00,2020-07-03 09:57:00,9,"123187",-34.35479,20.64561
"BRE13",1,2016-09-15 12:53:00,2020-07-03 10:12:00,9,"123197",-34.34874,20.6057
"BRE14",1,2016-09-15 13:06:00,2020-07-03 10:20:00,9,"123198",-34.35186,20.60169
"BWB Beach",1,2016-04-27,2017-10-21,1,"112817",-33.86176667,25.64263333
"BWB Beach",2,2017-12-15,2018-08-22,1,"112804",-33.86176667,25.64263333
"Bellbuoy",1,2015-06-22 13:30:00,2016-05-11,1,"5569",-33.98208,25.69397
"Bellbuoy",2,2016-11-05 12:30:00,2019-09-15 10:30:00,3,"113321, 5569",-33.98208,25.69397
"Berg002",1,2018-03-13 09:00:00,2019-02-09 12:45:00,1,"120141",-32.794117,18.19665
"Bird Island 1",1,2015-02-04,2025-04-10 10:17:00,20,"112443, 120132, 120129, 126034, 112419, 547129, 547846, 547153, 547132, 547155, 547135, 547134, 547861, 547162, 547144, 547843, 547852, 547862, 547166",-33.81273,26.31346
"Bird Island 2",1,2018-04-20,2025-04-10 09:43:00,14,"547144, 547845, 547158, 547140, 547843, 547136, 547129, 547862, 547132, 547847, 547131, 547161",-33.86869,26.29146
"Bird Island 80",1,2018-04-20,2025-04-10 09:07:00,14,"547130, 547137, 547151, 547136, 547158, 547139, 547842, 547131, 547165, 547865, 547129",-33.9032,26.30031
"Bird Island ADCP",1,2021-10-13 12:00:00,2023-03-16 23:00:00,3,"547862, 547840, 547134",-33.86388,26.30134
"Black Rock",1,2015-06-19 09:30:00,2017-08-02,2,"126067, 128999",-30.17018333,30.82951667
"Black Rocks inside",1,2015-03-30,2016-03-29,1,"112814",-33.83413333,26.26465
"Black Rocks inside",2,2021-04-06 09:31:00,2025-07-20 10:13:00,8,"545670, 545668, 549569, 546764, 546757, 551305",-33.83413333,26.26465
"Black Rocks outside",1,2015-03-30,2016-03-29,1,"112815",-33.84441667,26.261
"Bluff 30m",1,2022-02-03 09:32:00,2022-06-20 14:27:00,1,"547856",-29.91135,31.0587
"Bluff 30m",2,2023-06-21 08:05:00,2024-02-29 07:59:00,2,"547167, 547866",-29.91135,31.0587
"Bluff 60m",1,2022-02-03 09:50:00,2022-06-20 14:07:00,1,"547839",-29.92072,31.06742
"Bluff 60m",2,2023-06-21 07:46:00,2024-08-27 14:29:00,3,"547864, 547841, 547129",-29.92072,31.06742
"Bluff 80m",1,2022-02-03 10:10:00,2022-06-20 13:17:00,1,"547841",-29.93493,31.08236
"Bluff 80m",2,2023-06-21 07:21:00,2024-08-27 13:58:00,3,"547854, 547858, 547161",-29.93493,31.08236
"Blythedale",1,2015-03-11 09:00:00,2016-06-28,1,"126059",-29.37578333,31.35431667
"Breede",1,2016-03-16 10:20:00,2024-06-19 14:00:00,16,"119104, 112434, 119628",-34.39735,20.83526
"Breede Top",1,2017-10-21 13:55:00,2019-12-11 11:32:00,2,"112374",-34.26002,20.55331
"Brenton shallow",1,2015-04-28 11:00:00,2025-06-06 10:59:00,8,"3591, 104784, 119619, 120148, 131729, 112347",-33.81618,25.76356
"Bushmans",1,2015-01-09 13:00:00,2025-03-06 15:10:00,10,"102289, 112443, 120176, 112471, 120147, 119099, 133827, 124980, 138876",-33.68519,26.66257
"CAR_AB001",1,2024-02-22 09:34:00,2024-12-18 16:48:00,1,"106610",-33.78284,25.72909
"CAR_AB002",1,2024-02-22 09:45:00,2024-12-18 16:18:00,1,"110163",-33.76756,25.75908
"CAR_AB003",1,2024-02-22 09:49:00,2024-12-18 12:47:00,1,"106601",-33.77143,25.76217
"CAR_AB004",1,2024-02-22 10:08:00,2025-01-10 11:25:00,1,"109137",-33.75151,25.79113
"CAR_AB005",1,2024-02-22 10:22:00,2025-01-10 10:36:00,1,"106616",-33.73802,25.82448
"CAR_AB006",1,2024-02-22 10:35:00,2025-01-10 09:45:00,1,"119098",-33.74455,25.82759
"CAS001",1,2019-06-12 07:30:00,2025-06-27 08:45:00,6,"123188, 133824, 119168, 119099, 126050, 133826",-31.1066,30.19351667
"CP001",1,2015-03-14 14:06:00,2018-10-08 13:11:00,6,"123193, 112419, 123190, 545742, 546766, 545752",-34.3355,18.48023
"CP001",2,2019-11-11 13:42:00,2020-04-16 14:46:00,1,"545746",-34.3355,18.48023
"CP001",3,2020-09-04 11:58:00,2025-06-24 09:43:00,8,"546780, 545675, 546775, 546787, 546785, 551307, 550571, 547835",-34.3355,18.48023
"CP002",1,2015-03-14 13:26:00,2020-04-16 14:20:00,9,"119620, 119110, 123192, 545754, 546767, 545753, 546770, 545747, 547826",-34.33209,18.48548
"CP002",2,2020-09-04 11:55:00,2025-05-25 10:04:00,8,"547832, 545757, 547823, 546770, 549809, 545759, 550572, 549565",-34.33209,18.48548
"CP003",1,2015-03-14 13:06:00,2020-04-16 14:22:00,9,"120145, 120128, 123201, 545757, 546768, 545754, 546772, 546767, 545745",-34.32892,18.49085
"CP003",2,2020-09-04 11:46:00,2025-05-25 10:44:00,8,"545756, 546785, 547828, 546762, 551316, 546779, 545743, 551309",-34.32892,18.49085
"CSB001",1,2015-05-21 10:58:00,2015-10-05 08:40:00,1,"112436",-34.182233,22.175367
"CSB001",2,2015-11-16 11:42:00,2025-04-25 15:03:00,17,"119625, 119630, 120128, 112373, 545743, 546768, 546761, 546759, 545755, 545757, 546760, 546782, 545668, 552856, 547830, 546767",-34.182233,22.175367
"CSB002",1,2015-05-21 10:37:00,2025-04-25 14:53:00,18,"120149, 119627, 119631, 120157, 112375, 545744, 546777, 546769, 546778, 546765, 546762, 546764, 547831, 546773, 546776, 552857, 546758, 552852",-34.188067,22.182083
"CSB003",1,2015-05-21 10:17:00,2016-05-16,2,"120176, 119107",-34.19325,22.188183
"CSB003",2,2016-11-25 12:58:00,2025-04-25 15:22:00,15,"120164, 112439, 545745, 546784, 545759, 545741, 545669, 546786, 545747, 547832, 549807, 551309, 552859, 547831, 552854",-34.19325,22.188183
"CSF001",1,2022-02-17 10:45:00,2022-12-06 11:44:00,1,"113583",-34.21539,24.851111
"CSF002",1,2022-02-17 10:52:00,2022-11-05 09:19:00,1,"113591",-34.21422,24.851091
"CSF003",1,2022-02-17 10:58:00,2022-12-06 10:19:00,1,"113595",-34.21428,24.852466
"CSF004",1,2022-02-17 11:02:00,2022-08-17 09:16:00,1,"113606",-34.21542,24.85254
"CSF005",1,2022-02-17 11:08:00,2022-08-17 10:04:00,1,"113608",-34.21659,24.85231
"CSF006",1,2022-02-17 11:11:00,2022-08-17 11:56:00,1,"114717",-34.21662,24.85114
"CSF007",1,2022-02-17 11:16:00,2022-11-05 13:20:00,1,"114718",-34.21663,24.84985
"CSF008",1,2022-02-17 12:50:00,2022-08-17 11:02:00,1,"119082",-34.21544,24.84977
"CSF009",1,2022-02-17 12:52:00,2022-08-17 10:26:00,1,"119085",-34.21405,24.84969
"CSF010",1,2022-02-17 12:55:00,2022-11-05 10:50:00,1,"120203",-34.2147,24.85031
"CSF011",1,2022-02-17 12:58:00,2022-08-17 09:44:00,1,"120206",-34.21476,24.85194
"Canyon001",1,2018-05-28 07:31:00,2020-06-03 09:00:00,4,"112350, 112372, 119165, 123185",-27.62491667,32.67756667
"Canyon002",1,2018-05-28 05:44:00,2020-06-05 08:15:00,4,"112380, 112386, 120139, 126036",-27.83783333,32.62063333
"Canyon003",1,2018-05-28 05:00:00,2020-06-04 09:00:00,4,"112381, 119619, 126043, 131733",-27.91305,32.6181
"Canyon004",1,2018-06-26 22:35:00,2020-03-20 10:30:00,3,"112421, 119630, 126035",-30.7571,30.58046667
"Canyon005",1,2018-06-26 23:08:00,2020-03-20 09:30:00,3,"112432, 119635, 119620",-30.83208333,30.52921667
"Canyon006",1,2018-06-26 23:42:00,2020-03-20 11:30:00,3,"112438, 123186, 126029",-30.89196667,30.47
"Cape Recife",1,2015-04-21 14:00:00,2025-06-06 09:21:00,8,"3593, 128593, 112386, 131729, 119631, 119167",-34.04525,25.69281
"Cape Recife Offshore 1",1,2015-04-23,2020-03-19,10,"112432, 119097, 102856, 126027, 102287, 119102, 547154, 547144, 547845, 547844",-34.03411,25.72771
"Cape Recife Offshore 1",2,2020-08-22,2024-07-17 11:15:00,8,"547136, 547852, 547154, 547144, 547860, 547139, 547129, 547145",-34.03411,25.72771
"Cape Recife Offshore 1",3,2025-01-09 11:45:00,2025-07-02 10:31:00,1,"547168",-34.03411,25.72771
"Cape Vidal",1,2022-03-06 08:27:00,2023-09-02,1,"136527",-28.12238,32.55614
"Central 60m",1,2015-02-20,2020-03-19,10,"120141, 112434, 102851, 126042, 120133, 123202, 547151, 547131, 547861, 547137",-33.88195,25.98585
"Central 60m",2,2020-06-08,2023-11-17 08:52:00,7,"547852, 547137, 547155, 547843, 547136, 547842, 547865",-33.88195,25.98585
"Central 60m",3,2024-05-28 11:49:00,2024-11-29 09:42:00,1,"547858",-33.88195,25.98585
"Central 80m",1,2018-05-17,2020-03-19,4,"547158, 547844, 547852, 547843",-33.94755,26.12375
"Central 80m",2,2020-06-08,2022-12-01 09:31:00,5,"547860, 547846, 547131, 547151",-33.94755,26.12375
"Central 80m",3,2023-05-24 10:05:00,2024-11-29 11:40:00,4,"547862, 547164, 547858, 547866",-33.94755,26.12375
"Coega",1,2015-06-23 10:20:00,2025-04-25 09:00:00,9,"119630, 120135, 123192, 131734, 112464, 126041, 119098, 120149",-33.80017,25.69835
"DCP001",1,2022-04-22 14:10:00,2023-04-13 10:56:00,2,"547827, 546787",-27.5015,32.72483
"DEH001",1,2018-10-16 09:46:00,2025-03-19 07:18:00,11,"545741, 545671, 546757, 546759, 546769, 545678, 547834, 546758, 546781, 545740, 549811",-34.478753,20.85342701
"DEH002",1,2018-10-16 10:09:00,2020-10-06 07:14:00,4,"545744, 545672, 546787, 545741",-34.47232903,20.75938197
"DEH002",2,2021-03-31 08:16:00,2025-03-19 07:53:00,6,"545745, 545673, 547832, 547831, 546786, 545749",-34.47232903,20.75938197
"DEH003",1,2018-10-16 10:33:00,2025-03-19 08:31:00,11,"546758, 545674, 546769, 546778, 546779, 545746, 545743, 549563, 547825, 545671, 545758",-34.46748798,20.65577201
"DEH004",1,2018-10-16 10:56:00,2025-03-19 08:57:00,11,"546759, 545750, 547824, 545744, 547828, 546773, 546779, 549908, 545745, 546769",-34.486374,20.56022401
"DEH005",1,2018-10-16 11:36:00,2023-11-20 09:29:00,9,"546771, 546780, 545753, 546776, 547836, 546781, 545747, 545759, 545739",-34.53641698,20.48344896
"DEH005",2,2024-06-18 09:42:00,2025-03-19 09:26:00,1,"545741",-34.53641698,20.48344896
"DEH006",1,2018-10-16 12:05:00,2024-06-18 10:12:00,10,"546773, 546781, 547828, 547824, 547830, 545753, 549564, 546771, 545676",-34.60521899,20.434372
"DEM000",1,2021-04-25 15:19:00,2022-09-15 11:43:00,2,"549804",-34.70773,20.17085
"DEM001",1,2020-10-24 16:51:00,2021-04-02 10:33:00,1,"549804",-34.65619,20.32396
"DH001",1,2015-04-04 07:18:00,2017-02-01,1,"121842",-34.43086,20.88448
"DI002",1,2016-04-11 11:34:00,2020-01-16,4,"108813, 128107, 108886, 128116",-34.06515,18.330433
"DI1 GELDST",1,2015-11-06 08:55:00,2018-12-10 13:00:00,4,"126262",-34.67778,19.39361
"DI2 Outside Geyser",1,2015-06-11 09:05:00,2018-12-10 12:15:00,4,"126263",-34.69361,19.41277
"DI2 Outside Geyser",2,2020-07-05,2021-01-02,1,"126263",-34.69361,19.41277
"DI3 Doldrums/Sharkalley",1,2015-11-06 09:20:00,2018-12-10 11:30:00,4,"126264",-34.68666,19.41833
"DI3 Doldrums/Sharkalley",2,2020-07-05,2021-02-13 11:00:00,2,"126264",-34.68666,19.41833
"DUI",1,2015-03-27 12:50:00,2024-06-19 12:30:00,9,"112462, 120160, 126039, 119176, 112473, 131732, 124032, 126033, 123186",-34.35142,21.00866
"Darwin Reef MB",1,2017-10-23,2018-03-28,1,"119628",-34.1774833,22.1571333
"Dharb",1,2015-08-14 08:45:00,2023-02-28 10:10:00,8,"119105, 123185, 112385, 112443, 123195, 126033, 126038, 120160",-29.864667,31.057183
"Dharb",2,2024-02-19 13:34:00,2025-06-20 12:00:00,1,"120164",-29.864667,31.057183
"Die Dam",1,2015-06-20 15:20:00,2018-03-14 13:50:00,3,"126269",-34.77472,19.69416
"Die Plaat",1,2015-06-20 13:25:00,2017-02-17 16:50:00,2,"126265",-34.5375,19.35272
"Dunes",1,2016-04-11 11:10:00,2020-01-16,4,"128117, 128115, 108813",-34.1128,18.346333
"Durban",1,2015-05-28 07:45:00,2017-07-25,2,"126063, 129000",-29.83766667,31.05108333
"Dyer Island",1,2022-01-17 10:46:00,2024-09-02,1,"126264",-34.68833333,19.42505556
"East Shoal",1,2016-04-15 11:55:00,2019-02-07 10:11:00,3,"128116, 128109, 128117",-34.15108,18.64639
"Evans Peak",1,2015-04-28 09:26:00,2019-07-17 09:40:00,4,"5187, 113320, 128592",-33.84265,25.81635
"FB001",1,2015-10-06 10:07:00,2016-04-08 08:31:00,1,"120147",-34.35546,18.8069
"FB001",2,2016-11-27 11:39:00,2020-04-16 12:34:00,6,"545746, 546762, 545668, 545743, 546768, 547825",-34.35546,18.8069
"FB001",3,2020-09-04 10:24:00,2025-06-13 09:25:00,8,"547834, 545668, 546768, 545758, 546775, 546765, 549569, 546778",-34.35546,18.8069
"FB002",1,2015-03-15 09:34:00,2016-11-07,3,"119099, 120150, 119621",-34.35667,18.8006
"FB002",2,2017-10-18 10:24:00,2020-04-16 12:48:00,5,"546764, 545669, 545745, 546784, 547830",-34.35667,18.8006
"FB002",3,2020-09-04 10:35:00,2025-06-13 09:40:00,8,"547831, 545740, 547825, 545741, 547826, 549807, 546787, 547833",-34.35667,18.8006
"FB003",1,2015-03-15 09:52:00,2016-04-08 09:05:00,2,"123194, 120157",-34.35775,18.79421
"FB003",2,2016-11-27 12:06:00,2020-04-16 12:57:00,6,"545749, 546765, 545670, 546762, 547823, 545678",-34.35775,18.79421
"FB003",3,2020-09-04 10:38:00,2025-06-13 09:51:00,8,"546782, 545749, 547827, 545752, 547828, 545756, 546772, 547834",-34.35775,18.79421
"FHSI",1,2015-03-14 13:48:00,2018-01-21 10:10:00,4,"5280, 128108, 129603, 108887",-34.14166,18.43802
"FHSI",2,2018-05-16 08:00:00,2023-01-30 11:45:00,6,"128112, 108885, 128109, 128116, 128114, 136863",-34.14166,18.43802
"FHSI",3,2023-05-23 10:39:00,2023-12-22 07:00:00,1,"128112",-34.14166,18.43802
"FHSI",4,2024-05-08,2025-05-06 13:00:00,1,"108887",-34.14166,18.43802
"GB001",1,2015-07-15 08:36:00,2025-04-25 16:24:00,17,"123185, 123186, 119110, 120168, 546777, 546779, 545675, 546783, 545676, 545758, 546767, 546780, 547830, 547835, 551312, 551310, 545757",-34.066567,22.242067
"GB002",1,2015-07-15 08:06:00,2019-11-15 10:18:00,8,"123203, 123188, 119625, 112432, 546783, 546780, 545676, 547831",-34.072967,22.246833
"GB002",2,2020-07-03 12:35:00,2025-04-25 16:11:00,8,"546785, 546783, 546765, 549808, 547836, 552858, 545739, 546782",-34.072967,22.246833
"GB003",1,2015-07-15 07:41:00,2025-04-25 15:59:00,17,"123202, 123194, 120150, 112338, 546784, 546781, 545754, 547832, 545670, 545679, 546768, 549563, 549810, 546778, 549567, 549908, 549568",-34.079,22.2513
"GBO",1,2015-12-09 10:35:00,2020-10-19 10:50:00,4,"128112, 128105, 128109, 128114",-34.156817,18.840283
